0,1,2,3,4,5,6,7,8
129,14,74,54,6,78,60,6,79
133,15,55,60,5,75,71,16,70
155,14,52,51,11,63,69,11,74
114,20,66,66,4,77,69,10,74
131,19,65,47,11,79,49,10,89
135,18,67,43,6,79,59,13,80
131,30,63,55,5,68,64,5,79
137,12,64,57,7,74,60,11,78
137,16,71,50,9,81,61,13,62
131,23,62,49,9,66,72,10,78
123,15,72,49,7,81,57,15,81
130,14,69,56,5,76,56,16,78
122,19,63,51,10,78,56,14,87
139,14,57,48,10,77,65,18,72
130,22,62,48,10,83,55,13,77
138,26,71,54,8,60,67,18,58
123,23,57,63,9,76,72,9,68
133,14,60,51,13,80,61,15,73
115,14,77,44,6,74,76,14,80
129,11,59,51,10,72,63,12,93
141,15,59,44,12,73,67,14,75
139,12,81,46,10,79,52,10,71
125,20,63,48,12,79,57,14,82
136,24,71,42,11,64,58,12,82
131,18,67,48,10,80,54,10,82
135,14,66,53,11,74,69,10,68
144,16,55,67,10,67,56,8,77
122,22,67,51,6,82,59,13,78
132,17,53,63,11,74,52,9,89
146,16,68,55,4,80,63,9,59
118,28,68,59,10,75,70,10,62
139,18,68,64,6,72,48,13,72
133,20,58,46,7,78,62,14,82
128,17,63,37,18,85,77,10,65
149,16,65,52,9,82,52,10,65
117,11,70,46,10,80,65,13,88
130,13,64,51,9,86,56,13,78
113,20,74,54,5,81,65,11,77
147,16,63,47,13,72,65,16,61
129,13,74,48,10,77,66,8,75
153,14,46,47,13,86,55,11,75
142,22,69,52,13,70,58,13,61
123,11,69,53,11,76,56,19,82
127,9,63,44,11,88,61,16,81
140,23,58,37,12,63,59,18,90
127,21,70,55,6,83,51,9,78
130,17,71,45,13,68,61,12,83
121,19,64,44,8,91,60,13,80
135,22,58,57,7,71,61,15,74
128,18,66,50,5,78,67,7,81
153,19,63,47,9,71,58,10,70
129,19,65,55,11,76,60,13,72
138,13,55,59,7,69,73,16,70
132,10,54,48,11,74,78,9,84
130,17,70,46,8,78,61,15,75
115,14,67,54,10,82,61,16,81
154,11,65,53,4,70,51,9,83
128,15,63,53,7,83,56,7,88
140,13,67,56,5,80,66,10,63
128,18,72,49,11,75,61,15,71
143,14,52,47,15,79,67,13,70
115,22,86,45,8,63,66,14,81
153,17,68,46,13,59,59,7,78
