0,1,2,3,4,5,6,7,8
67,57,124,87,224,57,125,124,135
59,48,131,100,220,51,136,104,151
63,50,118,95,228,75,111,124,136
75,51,116,83,240,63,109,116,147
64,47,120,92,236,59,132,131,119
66,60,117,92,220,63,104,127,151
63,58,133,81,243,59,108,120,135
59,66,107,96,234,50,126,115,147
58,55,112,100,258,61,111,119,126
66,63,115,107,223,56,108,116,146
69,59,140,107,212,56,118,105,134
74,59,119,94,208,66,102,134,144
61,54,124,109,251,40,103,130,128
75,48,100,98,247,53,112,123,144
59,63,111,106,245,42,129,108,137
74,47,104,96,249,52,101,141,136
73,48,134,89,222,50,118,126,140
64,49,107,108,234,69,120,121,128
71,56,109,112,230,62,117,112,131
60,54,122,95,238,59,123,107,142
78,56,104,102,223,57,125,123,132
69,65,119,109,228,64,104,118,124
60,58,110,95,240,60,110,120,147
69,58,108,98,213,64,123,111,156
61,53,121,100,243,52,104,114,152
71,63,134,93,221,50,112,116,140
67,44,122,89,253,56,112,121,136
56,47,137,105,245,45,104,118,143
65,59,119,86,218,63,133,109,148
70,51,132,88,248,43,116,115,137
56,69,123,93,241,43,109,120,146
68,55,126,110,239,62,94,110,136
78,50,136,102,212,45,128,110,139
54,55,121,116,223,53,127,108,143
63,53,116,89,226,64,119,119,151
67,58,133,96,226,50,117,113,140
71,58,130,94,243,67,116,98,123
74,57,125,98,238,50,109,110,139
66,60,123,106,249,54,110,110,122
50,61,130,104,244,58,111,118,124
66,65,111,92,221,50,116,128,151
78,58,119,109,241,65,115,100,115
57,53,114,110,211,62,129,128,136
63,44,108,98,242,56,124,103,162
70,65,112,111,217,55,109,112,149
65,64,108,89,231,56,117,122,148
76,56,97,103,230,51,132,123,132
72,48,99,106,238,50,132,122,133
69,56,123,97,241,56,109,98,151
67,49,134,90,244,56,103,130,127
63,57,112,104,237,61,121,114,131
64,56,98,91,244,63,137,108,139
66,58,115,93,251,52,117,111,137
67,49,125,105,242,65,111,106,130
64,58,98,107,234,45,146,109,139
75,59,116,96,237,68,91,118,140
51,52,113,114,246,54,102,123,145
73,55,117,99,237,69,116,102,132
66,51,122,87,215,62,120,138,139
70,42,137,98,220,44,118,129,142
60,53,139,97,253,56,99,105,138
61,47,116,103,241,59,107,134,132
65,50,108,108,210,65,126,121,147
76,50,126,91,230,62,124,120,121
76,52,104,100,253,48,107,124,136
68,53,119,87,217,65,123,123,145
72,46,106,119,226,65,113,112,141
61,52,133,90,242,59,107,114,142
67,69,133,93,223,54,114,110,137
66,49,115,97,260,49,133,111,120
64,45,117,100,226,54,130,111,153
65,41,123,93,255,50,116,113,144
68,49,113,111,250,54,100,120,135
62,49,114,101,211,62,125,132,144
76,43,113,83,213,49,121,118,184
79,51,126,81,237,50,119,106,151
56,56,138,106,238,51,112,114,129
51,52,127,92,230,58,116,134,140
68,42,123,96,250,63,115,99,144
73,47,124,92,250,50,128,102,134
72,53,110,97,236,55,116,119,142
73,48,110,105,223,67,119,118,137
71,62,117,113,238,50,113,109,127
72,61,129,81,236,57,109,126,129
71,51,114,97,262,52,128,88,137
72,63,129,90,233,55,125,102,131
68,42,137,92,226,57,111,131,136
53,56,124,111,211,53,124,122,146
70,47,132,95,240,60,117,103,136
64,41,126,109,221,49,134,118,138
64,55,107,111,234,60,106,118,145
68,56,109,88,221,62,132,116,148
67,44,148,89,238,46,115,116,137
59,45,131,92,270,58,121,104,120
61,56,142,83,224,47,131,117,139
60,45,115,96,220,65,128,115,156
63,51,117,91,250,52,131,110,135
54,53,118,105,240,57,111,121,141
62,51,135,109,256,46,104,121,116
67,60,133,92,219,68,114,115,132
78,43,124,98,256,52,121,111,117
74,63,122,85,241,57,125,94,139
56,62,120,72,237,57,120,122,154
64,62,131,90,203,61,123,115,151
69,71,118,83,244,50,115,109,141
66,45,134,103,210,60,118,116,148
63,49,122,101,227,56,127,114,141
