0,1,2,3,4,5,6,7,8
23,2,52,101,236,140,102,207,137
26,1,38,112,214,140,95,223,151
24,6,43,111,229,138,101,223,125
25,13,37,109,229,123,114,209,141
28,4,39,100,229,133,107,215,145
21,6,51,103,249,133,83,197,157
25,5,59,118,207,127,97,221,141
27,3,48,120,226,122,111,214,129
31,4,57,110,206,127,106,230,129
14,8,64,106,228,132,97,224,127
21,5,53,118,222,156,83,219,123
24,5,39,128,224,136,94,210,140
29,5,41,84,244,136,105,226,130
25,8,47,118,243,120,98,200,141
27,5,51,93,239,124,100,222,139
23,5,38,112,241,149,101,211,120
31,6,46,102,223,147,103,193,149
24,3,44,114,251,138,92,211,123
21,4,45,124,222,146,85,209,144
23,9,48,108,216,143,100,218,135
20,4,40,114,229,138,88,222,145
30,6,41,97,259,133,106,212,116
25,4,28,133,238,154,86,208,124
25,8,37,120,215,137,107,208,143
32,7,52,120,218,142,100,178,151
18,5,47,107,236,139,106,204,138
25,1,40,99,210,116,106,237,166
26,8,33,96,227,118,123,231,138
22,4,36,105,235,122,111,222,143
28,3,49,130,237,123,97,213,120
19,8,44,95,228,143,117,215,131
40,6,42,105,224,123,97,213,150
31,6,41,133,216,131,108,203,131
21,5,55,120,237,118,104,203,137
25,4,46,118,226,117,101,226,137
19,6,51,109,222,138,93,230,132
28,4,37,101,224,149,109,206,142
19,6,38,125,235,118,85,209,165
14,0,43,107,233,127,104,232,140
27,5,35,99,241,144,105,216,128
30,7,49,113,231,132,94,213,131
22,8,57,101,219,131,105,225,132
17,4,42,114,239,147,96,226,115
28,6,54,103,241,125,113,205,125
21,3,54,108,214,131,104,218,147
16,5,43,126,218,116,114,224,138
17,10,42,118,227,143,90,214,139
19,3,45,124,243,113,99,223,131
20,6,36,111,210,157,111,220,129
18,1,40,126,231,128,100,199,157
18,6,47,93,237,127,80,244,148
23,7,46,119,217,135,104,226,123
19,11,40,138,226,138,98,196,134
27,10,46,112,213,128,91,239,134
29,3,38,115,236,134,99,234,112
23,4,56,119,221,125,80,232,140
28,6,45,111,232,116,109,210,143
24,5,45,108,222,128,101,223,144
41,6,46,110,231,117,90,230,129
27,6,49,118,242,129,92,211,126
22,5,46,106,239,144,115,196,127
12,4,38,98,241,121,103,232,151
28,3,41,126,236,115,107,198,146
27,10,37,109,230,133,105,211,138
27,7,37,116,239,125,96,210,143
19,4,50,116,235,129,86,229,132
20,4,50,115,208,129,94,242,138
31,4,40,109,237,127,110,210,132
27,3,40,111,229,132,88,239,131
24,8,50,112,228,125,97,212,144
23,7,42,112,210,129,96,240,141
29,8,59,113,231,126,82,210,142
31,5,56,100,236,129,89,216,138
24,6,52,114,231,127,113,203,130
19,3,43,114,232,137,106,212,134
20,8,53,114,233,110,115,219,128
24,4,41,109,238,123,95,233,133
29,10,34,114,225,128,104,240,116
25,5,55,117,219,105,95,242,137
31,4,45,126,232,145,94,190,133
26,3,46,125,228,110,121,223,118
14,2,40,127,232,116,103,223,143
27,5,48,115,215,128,100,222,140
20,2,43,110,235,148,89,216,137
23,5,49,111,220,117,109,206,160
35,5,46,100,235,125,105,209,140
20,8,58,108,220,127,113,216,130
36,6,50,96,220,133,83,229,147
18,3,40,107,237,104,106,246,139
23,5,58,117,228,133,99,223,114
23,7,47,104,223,132,113,209,142
27,7,58,104,214,119,108,234,129
19,3,45,130,220,128,90,211,154
25,3,41,96,227,130,102,225,151
25,6,46,108,225,139,89,218,144
31,5,36,107,209,140,107,244,121
24,4,45,104,209,146,103,216,149
18,6,43,120,223,108,103,213,166
31,2,52,101,228,129,86,228,143
23,2,47,129,224,130,108,205,132
33,4,51,105,207,140,96,223,141
23,3,47,112,243,138,94,211,129
21,4,42,104,250,129,104,218,128
25,5,35,107,208,128,102,247,143
17,10,55,114,230,121,76,221,156
33,12,52,98,229,130,107,213,126
17,9,55,119,215,135,103,216,131
22,10,36,108,225,136,107,219,137
24,5,45,101,237,159,87,221,121
17,5,43,112,218,139,105,230,131
27,5,46,114,226,124,98,220,140
14,5,56,97,219,135,87,229,158
24,10,38,112,219,141,104,219,133
26,4,46,105,214,150,104,215,136
21,6,48,117,210,133,94,212,159
18,5,53,106,204,136,105,232,141
22,5,48,118,213,134,88,223,149
27,3,40,112,222,129,103,222,142
25,8,37,122,246,136,96,203,127
25,4,55,114,227,125,101,218,131
27,8,65,112,235,121,100,220,112
21,9,60,115,218,123,88,222,144
20,5,53,112,246,135,81,208,140
27,6,37,111,236,131,91,208,153
29,7,50,122,215,124,97,236,120
27,5,41,118,244,141,92,202,130
23,6,41,111,234,135,97,216,137
23,8,52,120,237,118,82,224,136
21,11,47,98,252,128,105,200,138
30,8,47,102,220,127,92,217,157
27,10,48,120,213,133,102,209,138
17,4,49,119,237,146,97,188,143
27,7,52,109,213,114,92,236,150
21,6,58,106,207,128,115,223,136
23,8,57,111,236,107,98,228,132
25,4,47,95,220,152,80,234,143
25,6,46,115,235,121,101,217,134
22,4,50,108,221,141,98,225,131
27,9,44,114,217,128,104,221,136
26,8,54,102,229,131,107,223,120
15,4,40,127,240,127,111,211,125
27,4,55,117,189,150,81,213,164
17,9,37,137,237,125,83,203,152
22,7,40,114,241,126,93,219,138
23,2,38,125,207,138,90,233,144
22,7,43,123,218,120,110,229,128
22,9,35,100,222,115,121,226,150
32,8,44,122,223,136,107,202,126
23,4,34,116,229,124,86,230,154
28,5,39,123,225,139,97,211,133
30,10,43,99,207,145,110,210,146
30,4,52,106,215,128,92,225,148
29,4,49,114,214,121,104,210,155
20,3,36,117,220,165,102,204,133
24,5,46,103,221,142,95,231,133
22,7,43,104,220,145,86,227,146
21,7,52,115,222,120,96,229,138
25,2,42,101,236,135,106,216,137
28,3,52,102,236,114,99,220,146
20,6,48,113,229,129,105,223,127
27,2,49,119,236,121,91,219,136
22,8,43,107,228,108,99,228,157
25,6,53,113,230,131,91,215,136
28,3,52,102,232,120,114,227,122
27,8,34,124,240,108,105,210,144
20,4,44,108,234,142,84,230,134
22,6,39,102,245,121,94,229,142
20,4,52,104,216,141,88,239,136
25,6,34,110,220,137,94,243,131
22,6,52,111,208,133,101,221,146
26,9,53,101,214,129,104,227,137
21,6,43,99,226,129,106,222,148
40,4,39,102,220,116,104,243,132
15,3,39,135,242,126,94,225,121
23,5,46,108,228,119,87,241,143
20,7,41,120,221,136,101,217,137
17,9,41,131,208,127,97,220,150
15,7,47,111,223,131,110,209,147
28,8,46,94,228,126,120,234,116
33,7,45,119,235,106,94,230,131
22,7,43,98,229,128,110,210,153
18,2,66,96,209,144,91,239,135
16,3,44,143,215,148,103,201,127
13,12,57,116,200,122,84,252,144
23,4,53,102,236,137,98,203,144
29,5,49,134,221,115,85,223,139
29,4,57,94,212,133,111,229,131
24,8,46,102,230,132,89,231,138
28,9,41,136,226,145,106,186,123
26,3,56,97,215,125,97,234,147
22,7,40,105,214,135,98,224,155
17,5,42,101,244,126,93,231,141
27,3,36,107,239,143,105,206,134
24,7,33,101,237,129,112,226,131
19,8,48,115,237,120,99,218,136
23,5,49,102,227,135,102,243,114
28,8,37,102,239,126,92,228,140
24,3,54,92,214,149,103,210,151
22,6,45,122,224,125,102,218,136
18,9,39,105,220,128,110,235,136
26,6,44,108,229,118,100,231,138
25,8,40,125,217,127,92,233,133
23,6,56,94,248,126,83,220,144
26,7,48,111,215,117,100,235,141
30,9,50,120,216,121,90,226,138
21,4,43,115,244,122,104,198,149
20,5,51,100,233,134,84,212,161
21,5,43,111,217,139,103,221,140
20,5,46,112,216,138,110,214,139
17,1,32,108,223,139,106,225,149
30,5,43,132,216,115,107,215,137
23,6,51,125,193,114,124,216,148
22,8,43,113,212,142,93,231,136
17,10,49,106,233,134,108,207,136
22,3,54,121,218,123,102,210,147
18,4,58,105,235,133,100,222,125
26,6,43,105,215,132,110,221,142
25,3,33,123,219,132,91,227,147
26,5,45,112,239,126,108,210,129
23,6,52,105,243,141,103,199,128
24,7,54,108,201,156,95,219,136
22,5,49,106,220,111,109,227,151
20,9,39,121,219,131,104,225,132
27,4,40,112,218,141,93,226,139
20,3,61,114,207,137,103,202,153
22,4,44,120,211,144,107,219,129
28,2,43,110,227,127,118,217,128
23,4,38,106,234,129,99,220,147
25,4,47,125,206,112,101,232,148
26,8,49,107,234,139,85,237,115
12,4,51,120,229,135,88,220,141
15,6,48,97,203,151,95,247,138
20,8,50,116,246,126,92,204,138
21,5,49,126,218,118,111,226,126
17,9,41,112,239,125,103,204,150
31,4,49,114,231,123,103,204,141
19,7,50,121,218,141,94,196,154
20,3,52,114,249,138,98,203,123
22,4,44,121,223,135,92,227,132
23,6,49,114,207,110,101,246,144
24,3,38,113,206,142,96,240,138
27,5,57,99,226,130,90,220,146
23,10,48,116,219,133,98,232,121
22,5,49,101,236,135,86,227,139
18,4,53,96,219,141,114,234,121
22,7,40,121,228,130,97,227,128
30,5,62,109,235,116,109,206,128
27,4,47,109,222,156,102,227,106
16,4,55,111,247,128,110,212,117
23,4,49,118,210,151,93,205,147
37,8,34,125,229,122,87,228,130
14,4,56,122,226,118,101,222,137
29,8,39,88,231,142,101,213,149
20,9,49,135,234,127,98,191,137
20,11,52,98,228,133,88,236,134
20,5,52,112,224,104,106,235,142
23,5,33,101,224,134,116,235,129
34,3,52,127,210,138,108,201,127
16,9,40,112,238,122,100,225,138
24,11,47,106,214,136,84,229,149
19,8,50,106,244,123,108,230,112
30,6,37,103,240,109,94,249,132
25,6,39,103,227,143,111,225,121
22,10,39,120,219,120,103,227,140
23,3,32,98,243,129,106,229,137
17,6,37,115,249,133,93,214,136
17,2,49,121,223,124,99,229,136
29,5,37,129,231,146,110,200,113
23,3,43,120,219,121,110,220,141
28,5,42,119,225,118,89,217,157
30,6,44,112,222,131,94,215,146
20,4,53,111,250,137,101,203,121
26,3,44,103,239,131,92,228,134
29,8,47,106,230,132,97,230,121
20,9,43,104,211,123,108,231,151
19,5,64,100,220,112,100,251,129
17,5,50,109,244,139,95,212,129
25,6,45,100,204,127,109,257,127
25,4,44,125,242,125,92,215,128
25,6,44,98,233,136,83,239,136
21,1,48,113,221,125,104,230,137
27,4,50,113,214,126,108,222,136
16,4,67,116,214,122,91,221,149
26,8,39,113,201,140,105,233,135
22,4,38,116,231,143,96,210,140
33,2,41,100,231,134,99,222,138
23,7,37,110,242,137,100,202,142
28,7,48,111,240,140,87,217,122
17,6,51,120,213,114,118,212,149
24,6,56,103,241,136,88,207,139
27,9,67,122,214,129,78,222,132
17,3,58,94,244,127,104,222,131
23,7,44,108,237,116,96,223,146
24,7,40,117,219,132,107,200,154
28,5,42,103,264,124,88,206,140
18,6,40,132,227,111,109,224,133
19,8,53,106,221,127,113,228,125
17,4,46,107,220,142,93,248,123
24,2,33,120,244,121,93,226,137
22,7,41,116,232,148,86,205,143
32,6,49,101,206,133,94,239,140
24,5,44,103,238,119,100,237,130
16,3,36,92,230,130,105,237,151
26,6,50,112,219,144,100,190,153
23,4,44,101,218,121,97,250,142
30,5,43,115,251,115,100,224,117
20,6,46,107,213,131,111,225,141
34,7,47,122,230,127,89,204,140
18,6,52,117,245,119,102,206,135
17,4,51,115,214,132,108,239,120
26,6,39,111,216,129,110,205,158
25,4,43,107,242,130,112,206,131
25,9,37,129,208,124,103,226,139
26,5,55,105,239,144,98,206,122
24,5,41,105,222,138,109,223,133
32,4,43,109,206,128,110,208,160
25,5,38,118,206,134,117,229,128
25,2,47,110,235,124,114,197,146
26,5,46,117,236,106,97,222,145
24,3,58,108,222,140,85,217,143
25,5,44,99,237,134,104,214,138
25,3,46,124,230,111,106,218,137
23,1,36,111,229,140,96,215,149
28,8,37,100,214,152,101,227,133
29,6,54,124,206,126,95,224,136
30,3,31,122,229,123,86,225,151
15,9,28,108,248,150,106,220,116
21,2,41,102,217,132,103,235,147
17,9,45,113,239,122,104,212,139
17,3,56,98,234,130,105,239,118
34,8,42,99,223,139,97,213,145
25,5,51,119,223,123,99,222,133
25,6,40,123,226,129,95,220,136
36,6,39,125,224,113,97,227,133
25,2,43,109,221,139,82,219,160
23,7,30,125,222,130,100,227,136
