0,1,2,3,4,5,6,7,8
115,45,166,190,106,132,58,47,141
145,34,160,206,74,132,67,45,137
114,36,166,219,94,139,62,37,133
135,40,175,182,104,152,50,42,120
106,50,157,188,102,135,62,47,153
134,43,151,208,87,126,59,52,140
146,33,162,197,85,132,63,37,145
137,28,160,190,88,126,74,43,154
152,44,159,200,89,137,46,44,129
143,33,142,210,92,133,52,40,155
117,47,155,214,80,143,62,46,136
133,44,146,205,97,123,61,34,157
101,37,184,220,81,126,61,45,145
141,35,169,189,87,137,54,51,137
114,37,169,191,106,144,58,45,136
123,44,155,197,101,134,60,47,139
121,44,158,205,84,139,56,37,156
143,28,164,198,81,137,54,47,148
136,42,153,204,90,117,63,44,151
124,42,177,178,93,144,59,42,141
135,35,143,210,96,148,74,40,119
133,37,156,196,107,123,47,55,146
134,29,166,214,80,144,63,42,128
120,44,140,210,95,132,58,48,153
130,43,170,191,88,152,51,49,126
126,48,174,201,91,140,48,37,135
114,31,150,211,94,134,48,51,167
116,41,169,192,95,143,62,45,137
129,42,169,219,81,130,61,33,136
116,35,175,193,94,127,53,56,151
124,40,156,215,80,154,59,38,134
127,44,141,213,74,137,68,50,146
130,48,166,182,84,138,63,41,148
110,37,151,197,92,133,67,46,167
128,26,151,215,94,140,51,53,142
120,31,164,191,85,130,71,48,160
118,31,170,199,108,134,50,40,150
114,37,166,185,110,121,64,52,151
145,37,162,202,87,140,49,45,133
133,42,154,198,90,143,55,39,146
125,46,157,193,87,135,61,42,154
127,41,186,185,87,127,59,43,145
116,40,139,219,76,149,66,49,146
135,39,170,218,76,123,54,46,139
144,54,160,178,89,127,50,53,145
120,37,163,220,78,123,47,46,166
129,45,165,205,89,134,52,53,128
134,43,147,224,81,140,49,39,143
123,39,174,200,96,118,65,40,145
142,36,167,207,83,128,47,50,140
134,46,140,210,95,132,57,62,124
123,29,160,203,90,146,57,50,142
114,38,173,200,75,158,55,49,138
122,45,163,211,97,130,52,50,130
134,43,159,187,92,132,61,42,150
131,38,157,200,82,141,63,34,154
136,42,134,223,92,140,58,42,133
120,36,151,220,76,140,54,51,152
135,30,152,208,91,137,56,41,150
129,43,159,210,78,125,55,46,155
134,47,153,201,66,161,54,51,133
133,37,147,194,92,141,67,46,143
112,45,149,210,89,137,64,46,148
107,36,169,205,95,139,65,45,139
116,39,169,225,73,119,63,36,160
129,37,181,168,100,143,49,45,148
123,30,149,205,96,155,62,47,133
110,33,155,207,95,142,66,43,149
118,40,183,222,76,134,56,44,127
128,42,136,196,120,133,57,49,139
134,43,147,206,97,133,56,59,125
136,35,159,196,66,132,67,57,152
125,42,168,210,82,119,56,58,140
135,31,166,202,86,128,63,49,140
120,42,156,225,95,140,56,52,114
133,42,167,196,71,155,64,44,128
141,38,146,221,92,131,57,40,134
131,32,162,195,98,138,72,36,136
120,29,168,218,90,136,67,33,139
143,35,161,193,89,136,62,36,145
140,37,152,212,93,112,65,35,154
155,31,158,188,88,131,50,52,147
133,41,185,191,74,150,53,46,127
136,44,181,200,79,138,51,43,128
